keyvar;school;type_sch;sec_lev;respnum;v01;v02;v03;v04;v05;v0601;v0602;v0603;v0604;v0605;v0606;v0607;v0607a;v07;v080;v081;v082;v083;v084;v085;v08a;v090;v091;v092;v093;v09a;v1001;v1002;v1003;v1004;v1005;v1006;v11;v12;v130;v131;v132;v133;v13a;v140;v141;v142;v143;v14a;v150;v151;v152;v153;v15a;v160;v161;v162;v163;v16a;v170;v171;v172;v173;v17a;v18;v19;v20;v21;v2201;v2202;v2203;v2204;v2205;v2206;v2207;v2207a;v23;v240;v241;v242;v243;v25;v26;v27;v28a0;v28a1;v28a2;v28b0;v28b1;v28b2;v28c0;v28c1;v28c2;v2901;v2902;v2903;v2904;v30;v31;v32;v33;v34;v35;v360;v361;v37;v37_1;v37a;v37a1;v37b;v37b1;v38;v3901;v3902;v3903;v3904;v3905;v3906;v3907;v3908;v4001;v4002;v4003;v4004;v41;v42;v43;v44;v4501;v4502;v4503;v4504;v4505;v4506;v4507;v4508;v4509;v46;v47;v48;v48a;v49;v49a;v50;v50a;v5101;v5102;v5103;v5104;v5105;v5201;v5202;v5203;v5301;v5302;v5303;v5304;v5305;v5306;v54;v54a;v54b;v55;v55a;v55b;v56;v56a;v56b;v57;v57a;v57b;v58;v58a;v58b;v59;v59a;v59b;v60;v60a;v60b;del_ern;crime_types;unsafe_nh;ethnicity;dutch;surinam_antillian;moroccan_turkish
8010;56;12;4;5612410;1;5;4;1;1;1;1;1;2;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;2;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;3;6;8;0;1;0;0;0;0;1;1;1;6;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;1; ; ;1;0;0;0;8;4;9;6;2;2;1;0;1;1; ; ; ; ;1;1;1;3;1;1;1;1;1;9;3;9;9;2;2;3;4;1;4;2;1;5;5;4;4;3;2;2;1; ;1; ;1; ;2;3;2;3;2;4;4;4;4;2;3;3;5;6;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1,8;1;1;0;0
8011;56;12;4;5612411;1;1;4;1;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;1;3; ;0;1;1;1;8;2;2;8;5;2;1;0;2;1; ; ; ; ;2;1;1;1;3;1;1;3;1;5;5;5;1;2;3;3;3;5;5;5;5;5;5;5;5;5;2;2;1; ;1; ;1; ;2;2;1;3;1;4;4;4;6;1;1;1;2;7;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1;1;1;0;0
8013;56;12;4;5612413;2;5;5;1;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;6;5;1;1;2;1;5;2; ;2;4;0;0;0;2;2;14;1; ; ;1;6; ;3;5; ;0;1;0;0;6;2;2;6;3;2;1;0;1;1; ; ; ; ;1;3;1;2;1;1;1;1;1;5;2;4;3;2;1;3;2;1;5;1;5;1;3;5;5;5;1;1;1; ;2;13;2;3;2;3;1;1;3;4;3;4;5;1;2;4;7;7;2;9;1;2;99;2;1; ;1;2;6;1;2;12;1;1; ;1;1; ;1;1;4;2,2;1;1;0;0
8014;56;12;4;5612414;1;4;3;3;1;1;1;1;1;1;1;2; ;2;2;3;0;0;0;0;0;1;0;0;0;0;4;1;1;1;4;1;4;4;4;5;0;0;0;8;0;0;0;0;6;8;10;0;mentor van pester;3;5;0;0;0;7;0;0;0;0;6;6;5;6;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;1;3; ;0;0;1;1;7;2;2;3;3;2;1;16;2;1; ; ; ; ;1;1;1;3;4;1;1;3;1;5;2;3;3;2;1;3;2;3;3;5;5;5;5;5;5;2;1;1;1; ;1; ;1; ;2;1;2;3;1;4;4;4;6;5;9;3;4;3;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1,6;1;1;0;0
8017;56;12;4;5612417;1;4;5;3;3;2;1;1;1;3;2;2; ;3;2;3;0;0;0;0;0;2;0;0;0;0;2;1;1;1;2;2;3;5;5;9;0;0;0;3;8;0;0;0;6;8;0;0;0;3;0;0;0;0;2;0;0;0;0;2;9;9;5;2;1;1;1;2;1;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;1; ; ;0;0;1;0;8;2;2;8;5;2;1;0;2;1; ; ; ; ;5;1;1;1;2;1;1;1;1;5;2;5;5;3;2;3;3;1;5;1;5;3;2;5;5;5;2;1;1; ;1; ;1; ;2;1;2;3;3;4;4;4;5;2;2;1;4;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;2;1;1;0;0
8018;56;12;4;5612418;1;2;4;5;2;3;2;1;2;3;2;2; ;4;2;3;10;0;0;0;bij handvaardigheid;1;0;0;0;0;2;1;1;2;2;2;4;3;4;6;7;0;0;2;8;0;0;0;3;4;6;8;0;3;4;5;0;0;2;0;0;0;0;4;3;6;5;2;1;1;1;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;0; ; ;3; ; ;0;0;0;1;1;1;1;4;2;2;1;0;2;1; ; ; ; ;6;1;1;2;1;1;3;1;1;5;3;5;2;1;1;4;3;2;4;1;3;5;5;5;5;5;1;1;1; ;1; ;1; ;1;2;2;3;1;3;4;4;4;1;7;1;7;5;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1;1;1;0;0
8020;56;12;4;5612420;1;3;2;2;1;1;1;1;1;1;2;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;2;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;2;8;0;0;2;2;12;1; ; ;0; ; ;1; ; ;1;0;2;0;2;2;2;3;3;2;1;0;4;1; ; ; ; ;3;2;4;2;1;1;2;4;1;5;5;5;2;1;2;5;3;2;2;4;4;4;5;3;4;5;1;1;2;12;2;12;2;12;1;1;2;3;1;3;4;4;4;2;3;1;6;3;1; ;1;1; ;1;2;12;2;2;12;2;1; ;1;1; ;1;1; ;1;0;2;1,8;1;1;0;0
8021;56;12;4;5612421;1;5;5;2;3;3;1;1;1;1;2;2; ;1;2;3;10;0;0;0;bij hockey en in bus;1;0;0;0;0;3;1;1;1;1;4;3;4;5;7;9;0;0;11;0;0;0;niks;6;8;0;0;0;2;0;0;0;0;2;0;0;0;0;3;3;6;6;2;1;1;1;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;1;3; ;1;1;0;0;8;2;2;8;5;2;1;0;5;1;baptist; ; ; ;7;1;1;3;3;1;1;2;2;5;4;5;3;2;2;3;3;3;5;5;3;5;5;5;5;5;2;1;1; ;1; ;1; ;2;3;2;3;2;4;4;4;3;3;3;2;7;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1;1;1;0;0
8022;56;12;4;5612422;2;5;5;2;3;2;1;1;1;1;2;1;vanwege grote oren;2;3;0;0;0;0;0;0;6;0;0;0;op kamp;3;1;1;1;1;3;2;5;10;0;0;0;pesters slaan;2;0;0;0;0;6;7;8;0;0;2;0;0;0;0;5;0;0;0;0;2;3;2;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;1; ; ;1;0;0;0;8;2;2;8;2;2;1;0;3;1; ; ; ; ;2;2;2;3;1;1;1;3;1;5;3;4;4;1;1;3;3;4;5;5;3;2;3;3;5;5;1;1;1; ;1; ;2;13;2;1;1;3;2;4;4;4;6;5;5;1;5;7;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;2,4;1;1;0;0
8025;56;13;3;5112302;1;4;3;4;5;5;5;1;1;5;1;2; ;7;2;0;0;0;0;0;0;1;0;0;0;0;2;2;1;1;2;1;5;5;4;0;0;0;0;2;0;0;0;0;3;6;8;0;0;5;0;0;0;0;2;0;0;0;0;4;3;3;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;14;1; ; ;1; ; ;1; ; ;0;0;1;0;7;2;2;7;3;2;1;0;1;2; ; ; ; ;99;1;1;5;5;3;5;3;3;3;5;5;5;1;1;4;3;5;5;5;5;5;5;5;5;5;2;2;1; ;1; ;1; ;2;2;3;2;2;4;4;4;5;7;3;4;7;7;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1;1;1;0;0
8026;56;13;3;5112303;1;1;5;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;9;9;9;9;9;9;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2; ;2;2;0;0;0;2;2;14;1; ; ;1; ; ;1;2;3;0;3;1;0;2;2;2;3;2;3;14;0;99;99; ; ; ; ;1;5;3;3;1;1;1;1;1;5;3;5;5;2;2;3;2;9;9;9;9;9;9;9;9;9;3;1;2;10;2;12;2;10;1;3;3;1;3;1;1;4;2;2;7;7;7;7;2;9;2;2;99;1;2;99;1;2;99;1;1; ;1;1; ;1;1; ;1;0;4; ;3;0;0;1
8027;56;13;3;5112304;1;5;5;1;1;9;9;9;9;9;9;9; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;9;1;1;1;1;1;1;2; ;4;9;0;0;0;3;2;13;1;5; ;1; ; ;1;5; ;1;0;2;0;8;2;9;99;99;9;4;14;7;1; ; ; ; ;1;3;2;2;1;1;1;3;2;5;3;5;3;1;1;9;3;2;9;2;5;2;2;2;3;2;2;1;1; ;1; ;1; ;1;9;2;1;3;4;2;4;5;2;7;3;7;4;1; ;1;2;12;1;1; ;1;2;11;1;1; ;1;2;99;9;1; ;1;1;3;3,8;2;0;1;0
8028;56;13;3;5112305;1;9;5;3;1;2;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;9;1;1;1;1;1;9;9;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;9;1;2;9;9;9;9;9;9;9; ;4;2;0;0;0;3;2;13;1; ; ;1; ; ;0; ; ;0;0;0;0;8;2;2;8;5;2;1;0;1;1; ; ; ; ;1;3;5;3;3;1;5;5;3;5;5;5;4;2;1;3;3;5;5;5;5;1;2;2;4;5;3;2;2;10;1; ;2;10;2;3;3;2;2;3;1;4;4;1;7;1;7;4;1; ;1;2;10;2;2;10;2;2;11;2;2;13;2;2;12;2;2;11;2;1;6;3,2;1;1;0;0
8030;56;13;3;5112307;2;5;5;1;3;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;2;1;1;1;1;1;1;2; ;5;9;0;0;0;2;2;13;1; ; ;1; ; ;3; ; ;0;1;0;0;8;2;2;8;5;2;1;16;1;1; ; ; ; ;1;1;3;2;1;1;1;1;1;5;2;5;2;1;1;3;3;1;5;4;2;5;5;3;5;4;3;3;2;11;1; ;2;10;1;1;2;2;2;4;3;4;4;3;7;3;7;3;1; ;1;1; ;1;2;99;2;1; ;1;1; ;1;2;13;2;1; ;1;1;2;1,6;1;1;0;0
8032;56;13;3;5112309;2;4;4;3;5;5;1;1;1;1;2;2; ;7;2;3;0;0;0;0;0;1;0;0;0;0;2;1;1;1;1;1;3;4;5;0;0;0;0;6;0;0;0;0;8;0;0;0;0;8;0;0;0;0;2;0;0;0;0;5;3;3;5;5;1;1;1;1;1;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;1; ; ;2;0;0;0;8;2;2;8;2;2;1;0;2;1; ; ; ; ;3;3;2;3;1;2;1;2;3;5;3;5;5;1;2;3;3;1;5;1;3;3;3;4;5;3;2;9;2;11;1; ;2;12;1;1;2;2;2;1;3;4;3;2;6;1;7;1;1; ;1;1; ;1;1; ;1;2;12;2;1; ;1;1; ;1;2;12;1;1;2;2,4;1;1;0;0
8033;56;13;3;5112310;2;3;5;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;2;1;1;1;1;1;1;2; ;3;7;0;0;0;2;2;14;1; ; ;1; ; ;1;3; ;2;1;0;0;5;6;5;4;3;2;1;0;5;1;J.G.; ; ; ;7;1;2;2;1;1;1;4;1;5;5;5;2;1;2;3;2;2;4;2;3;1;1;1;5;1;1;1;1; ;1; ;1; ;1;1;3;2;2;3;4;4;2;1;3;1;6;5;1; ;1;1; ;1;2;99;1;1; ;1;2;99;1;2;99;1;1; ;1;1;3;4,2;1;1;0;0
8034;56;13;3;5112311;2;3;5;3;1;9;9;9;9;9;9;9; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;2;1;0;0;0;1;1;14;1; ; ;1; ; ;3; ; ;0;0;0;2;3;2;2;5;5;2;1;0;1;1; ; ; ; ;1;1;1;3;1;1;1;5;1;3;4;3;5;1;2;3;2;5;5;3;5;1;1;1;1;5;3;2;1; ;1; ;2;8;1;2;3;3;9;3;9;9;4;1;6;1;7;6;2;10;1;1; ;1;2;9;2;2;6;1;2;7;1;2;11;1;1; ;1;1;5;4,2;1;1;0;0
8035;56;13;3;5112312;1;3;3;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;14;1; ; ;1; ; ;1; ; ;0;0;1;0;3;2;2;3;3;2;1;0;1;1; ; ; ; ;1;1;1;1;1;1;1;3;1;4;5;5;5;2;1;3;2;1;2;1;1;3;3;2;2;4;1;2;1; ;1; ;1; ;2;1;1;3;1;4;4;4;3;2;4;2;5;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;3,2;1;1;0;0
8036;56;13;3;5112313;2;5;3;3;1;3;1;4;5;4;5;2; ;3;1;0;0;0;0;0;0;1;0;0;0;0;3;1;1;2;2;1;1;4;6;7;0;0;0;1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;1;0;0;0;0;4;1;1;4;1;1;1;1;1;1;2; ;9;4;0;0;0;2;3;13;1; ; ;1; ; ;3; ; ;0;3;0;0;3;2;2;8;2;2;1;0;2;1; ; ; ; ;1;5;3;5;3;1;1;5;1;3;3;3;3;1;1;4;3;2;5;2;5;5;5;5;5;5;2;1;2;13;1; ;1; ;3;2;2;2;2;2;2;3;2;1;7;1;5;1;1; ;1;1; ;1;1; ;1;2;13;2;1; ;1;1; ;1;2;7;1;1;2;1;1;1;0;0
8037;56;13;3;5112314;1;5;5;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;2;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;6;1;1;1;1;1;2;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;1; ; ;1;0;0;0;7;2;2;3;5;9;1;0;2;1; ; ; ; ;1;1;2;1;1;2;2;1;1;5;3;4;3;2;1;3;3;2;2;2;2;4;5;4;5;4;2;1;1; ;1; ;1; ;1;1;1;3;1;4;3;4;4;2;3;1;3;6;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1,6;1;1;0;0
8039;56;13;3;5112316;1;5;4;3;1;9;9;9;9;9;9;9; ;9;99;99;99;99;99;99;99999999999999999998;1;0;0;0;0;9;9;9;9;9;9;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;3;4;9;klasgenoten;1;0;0;0;0;1;1;1;5;9;9;9;9;9;9;9; ;3;7;0;0;0;2;9;13;1; ; ;1; ; ;1;3; ;1;0;0;1;8;2;2;8;2;2;1;0;2;1; ; ; ; ;2;4;1;3;1;2;2;4;1;5;5;5;5;2;9;3;3;1;2;1;1;4;2;4;5;5;2;1;2;13;1; ;1; ;1;2;3;3;2;4;3;4;3;1;4;2;7;2;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;2;1;1;0;0
8041;56;14;1;5612101;2;4;5;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;10;0;0;0;boos en wil slaan;1;0;0;0;0;1;0;0;0;0;3;4;5;0;0;2;0;0;0;0;1;1;1;6;1;1;1;1;1;1;2; ;3;9;0;0;0;3;2;14;1; ; ;1; ; ;1;3; ;1;1;0;0;5;2;2;4;4;5;6;0;2;1; ; ; ; ;1;3;2;3;2;1;1;2;2;5;3;4;3;2;2;3;2;2;4;2;2;4;4;4;4;3;2;1;2;14;1; ;2;13;1;2;2;2;2;4;2;4;4;4;5;3;6;5;1; ;1;1; ;1;1; ;1;2;99;9;2;99;9;2;99;9;1; ;1;1;3;2,2;4;0;0;0
8043;56;14;1;5612103;2;4;4;3;4;3;1;2;1;1;1;2; ;2;3;0;0;0;0;0;0;1;0;0;0;0;4;1;4;4;9;4;4;4;99;99;99;99;99999999999999999998;7;0;0;0;0;3;0;0;0;0;2;3;5;0;0;2;0;0;0;0;6;9;5;6;9;9;2;1;9;9;2; ;1;9;0;0;0;2;2;13;1; ; ;1; ; ;3; ; ;0;1;0;0;3;2;2;8;2;2;1;0;1;1; ; ; ; ;1;1;2;9;1;1;2;2;2;5;5;5;4;2;1;3;3;2;9;5;5;5;5;5;5;5;2;2;1; ;1; ;2;99;1;2;1;2;2;4;3;4;3;3;2;2;2;5;2;99;9;1; ;1;1; ;1;2;99;9;1; ;1;1; ;1;1; ;1;0;2;1;1;1;0;0
8044;56;14;1;5612104;2;2;3;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;4;1;1;1;1;1;2;4;5;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;3;3;9;9;9;9;9;9;9;9;9; ;1;1;0;0;0;1;1;15;1; ; ;0; ; ;0; ; ;0;0;0;0;4;4;5;7;2;2;1;0;6;1; ; ; ; ;1;3;2;1;1;1;1;3;1;5;5;5;4;2;2;2;2;5;5;3;2;4;5;5;5;5;2;2;1; ;1; ;1; ;2;1;1;3;1;4;4;4;3;2;7;1;1;2;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;2;99;1;1; ;1;1;1;1,2;1;1;0;0
8046;56;14;1;5612106;1;5;5;3;1;1;1;1;2;1;1;2; ;1;1;0;0;0;0;0;0;5;0;0;0;0;1;1;1;2;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;6;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;3; ; ;0;0;0;2;4;2;2;4;5;2;1;0;2;1; ; ; ; ;4;2;1;3;2;1;1;3;1;5;5;5;3;2;1;2;3;1;3;1;1;4;4;4;4;4;2;1;1; ;1; ;1; ;3;2;2;3;1;4;4;4;3;1;5;2;5;4;2;12;2;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;1;2;1;1;0;0
8050;56;14;1;5612110;1;5;5;1;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;3; ; ;0;0;0;1;8;2;2;8;2;2;13;0;4;1; ; ; ; ;2;3;3;3;3;1;3;5;1;5;5;5;5;2;2;3;3;5;5;5;3;5;5;5;5;5;2;2;1; ;1; ;2;12;3;3;2;3;3;4;4;4;4;3;6;2;7;9;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1;4;0;0;0
8052;56;14;1;5612112;1;4;5;3;2;2;1;1;1;1;1;2; ;2;3;10;0;0;0;0;bij de lokkers;1;0;0;0;0;4;1;1;1;4;1;3;5;4;5;0;0;0;3;0;0;0;0;6;0;0;0;0;3;4;5;0;0;2;0;0;0;0;2;3;2;5;2;1;1;1;1;1;2; ;1;1;0;0;0;1;1;13;1; ; ;2; ; ;2;3; ;0;0;2;1;8;2;2;8;5;2;1;0;2;1; ; ; ; ;3;2;2;1;1;1;1;2;1;5;2;4;1;1;1;4;3;3;4;3;3;4;4;3;4;5;2;2;1; ;1; ;1; ;2;2;2;3;1;4;4;4;2;1;3;1;7;5;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;2;1;1;0;0
8054;56;14;1;5612114;2;4;5;3;2;1;1;1;2;1;2;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;3;1;1;1;2;2;1;2;5;0;0;0;0;1;0;0;0;0;8;0;0;0;0;4;0;0;0;0;1;0;0;0;0;1;1;1;5;3;2;1;1;2;3;2; ;3;6;0;0;0;2;2;13;1; ; ;2; ; ;2; ; ;0;0;2;0;2;2;2;2;5;2;1;16;1;1; ; ; ; ;1;2;3;2;1;1;2;4;1;5;1;5;5;2;1;3;3;3;3;5;5;2;3;3;5;3;2;1;1; ;1; ;2;10;3;2;3;3;1;4;4;4;2;1;7;4;7;6;2;13;2;1; ;1;1; ;1;1; ;1;1; ;1;2;11;1;1; ;1;1;2;2,8;1;1;0;0
8055;56;14;1;5612115;2;5;3;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;2;2;1;1;1;1;2;2; ;3;1;6;9;0;1;1;14;1; ; ;1; ; ;3; ; ;0;1;0;0;8;2;2;8;3;2;1;0;1;1; ; ; ; ;2;3;1;2;1;2;1;3;1;3;4;5;3;1;1;3;2;1;5;3;2;5;5;5;5;5;2;2;1; ;1; ;2;6;2;2;2;2;2;4;2;4;5;1;6;2;6;3;2;11;2;2;12;2;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;2;1;1;1;0;0
8056;56;14;1;5612116;2;5;2;9;3;2;9;9;9;9;3;2; ;2;3;0;0;0;0;0;0;1;0;0;0;0;4;9;9;9;9;4;3;2;3;0;0;0;0;7;0;0;0;0;6;7;0;0;0;5;0;0;0;0;4;8;0;0;0;6;6;6;7;1;1;1;1;1;1;2; ;1;1;0;0;0;9;1;13;1; ; ;1; ; ;1; ; ;2;2;0;0;4;2;2;4;5;2;1;0;4;1; ; ; ; ;3;1;1;1;1;1;1;1;1;5;5;4;5;3;2;3;2;1;3;1;5;5;5;5;5;5;2;2;1; ;1; ;1; ;2;2;1;3;1;4;4;4;3;1;2;3;6;4;9; ;9;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0; ;1;1;1;0;0
8057;56;14;1;5612117;1;4;5;2;2;1;1;1;2;2;2;2; ;2;3;0;0;0;0;0;0;1;0;0;0;0;1;1;1;2;1;2;1;5;5;0;0;0;0;8;0;0;0;0;8;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;1;5;2;1;1;1;1;2;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;3; ; ;0;1;0;0;3;2;2;4;2;3;1;0;4;1; ; ; ; ;1;2;2;1;2;1;1;4;2;5;3;5;2;2;1;3;3;2;1;2;3;3;1;4;4;4;2;1;2;9;1; ;2;10;1;2;2;3;2;4;4;4;2;2;7;2;7;2;1; ;1;1; ;1;2;9;1;1; ;1;1; ;1;1; ;1;1; ;1;0;1;2,8;1;1;0;0
8061;56;14;1;5612121;1;3;4;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;3;0;0;0;0;1;1;1;1;2;1;2;6;5;0;0;0;0;3;0;0;0;0;2;0;0;0;0;8;0;0;0;0;9;0;0;0;jongen waar gek op b;2;2;6;6;1;1;1;1;2;1;2; ;1;1;0;0;0;1;1;13;1; ; ;0; ; ;3; ; ;0;0;0;1;8;2;2;8;2;2;1;0;2;1; ; ; ; ;2;2;1;2;1;1;2;2;1;5;3;5;2;2;2;3;2;1;3;3;4;5;5;5;5;3;1;1;1; ;1; ;2;13;2;2;3;3;2;4;2;4;3;2;5;1;7;7;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1,4;1;1;0;0
8062;56;14;1;5612122;2;4;5;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;4;2;1;1;1;1;1;2; ;4;8;0;0;0;2;2;12;1; ; ;1; ; ;1; ; ;1;0;0;0;7;2;2;4;3;2;1;0;99;99; ; ; ; ;1;2;1;1;1;1;1;1;1;5;5;5;3;1;2;2;3;2;3;1;2;4;5;5;5;5;2;2;1; ;1; ;2;99;2;2;1;3;2;4;3;4;2;2;2;2;6;7;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1,2;1;1;0;0
8063;56;14;1;5612123;1;4;5;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;3;0;0;0;0;1;1;1;1;1;1;2;1;5;0;0;0;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;14;1; ; ;1; ; ;1;3; ;0;1;1;0;8;2;2;8;5;2;1;0;3;1; ; ; ; ;6;1;1;4;2;2;2;3;2;5;2;5;4;2;1;3;2;2;2;1;3;5;5;5;5;5;2;1;1; ;1; ;1; ;2;1;2;3;2;4;4;4;5;3;2;1;4;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1;1;1;0;0
